source_entity,relation_type,target_entity,field_name,mandatory,ownership
Milestone,COMPOSITION_1:N,Project,milestones,true,
Milestone,N:1,Project,project,true,
Task,N:1,Milestone,milestone,false,
TaskComment,COMPOSITION_1:N,Task,comments,false,
TaskComment,N:1,Task,task,true,
Task,N:1,User,assignee,false,
Task,N:1,Priority,priority,true,
TaskComment,N:1,User,author,true,
User,N:1,Team,team,false,
User,N:N,Priority,priorities,false,both-owning
User,1:1,UserProfile,profile,false,
UserProfile,1:1,User,user,true,
UserConfig,COMPOSITION_1:1,UserProfile,profile,true,
Team,N:N,Client,clients,false,both-owning
